                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91353,                 2.5726,                 1.0785,                0.66676,                0.73682,                0.76566,                0.62701,                0.66089,                 1.5126,                0.87184,             0.00040909,             0.00040909,             0.00040909
                      2,                0.93311,                 1.5571,                 1.0606,                0.76219,                0.78269,                0.84873,                0.64994,                0.81253,                 1.2383,                0.96936,             0.00081758,             0.00081758,             0.00081758
                      3,                 1.0134,                  1.493,                 1.1372,                0.72754,                0.78397,                0.83894,                0.61183,                0.87456,                 1.6293,                 1.1272,              0.0012178,              0.0012178,              0.0012178
                      4,                0.92954,                 1.2662,                 1.0742,                0.58548,                0.52764,                0.56537,                0.41091,                0.85422,                 1.8798,                 1.0031,              0.0012129,              0.0012129,              0.0012129
                      5,                 0.9843,                 1.2417,                 1.1186,                0.82548,                0.64254,                0.76994,                0.58276,                0.93649,                 1.4426,                 1.1684,              0.0012005,              0.0012005,              0.0012005
                      6,                0.95549,                 1.0858,                 1.1218,                0.90689,                  0.919,                0.96475,                0.76608,                0.72891,                0.89434,                 1.0235,              0.0011881,              0.0011881,              0.0011881
                      7,                0.93579,                  1.014,                 1.1168,                0.91882,                0.93024,                 0.9769,                0.78748,                0.69952,                0.72635,                0.99407,              0.0011757,              0.0011757,              0.0011757
                      8,                0.88651,                 1.0036,                  1.081,                 0.9293,                0.81154,                0.93604,                0.77037,                0.71249,                0.82091,                 1.0083,              0.0011634,              0.0011634,              0.0011634
                      9,                0.91584,                  1.026,                 1.0932,                0.87886,                0.86594,                0.93326,                0.75353,                0.68006,                0.91365,                0.96784,               0.001151,               0.001151,               0.001151
